listing_id,raw_title,raw_date,raw_venue,source,candidate_event_id,cand_home_team,cand_away_team,cand_venue_canonical,cand_event_date,cand_venue_lat,cand_venue_lon,blocking_score,label,split
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,nba_401810548,Phoenix Suns,Cleveland Cavaliers,Mortgage Matchup Center,2026-01-31T02:00Z,33.4457,-112.0712,15.080149,1,train
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,nba_401810564,Phoenix Suns,LA Clippers,Mortgage Matchup Center,2026-02-02T01:00Z,33.4457,-112.0712,9.968839,0,train
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,nba_401810524,Phoenix Suns,Brooklyn Nets,Mortgage Matchup Center,2026-01-28T02:00Z,33.4457,-112.0712,9.55564,0,train
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,nba_401810565,Portland Trail Blazers,Cleveland Cavaliers,Moda Center,2026-02-02T02:00Z,45.5316,-122.6668,5.628803,0,train
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,nba_401810526,Cleveland Cavaliers,Los Angeles Lakers,Rocket Arena,2026-01-29T00:00Z,41.4965,-81.6882,5.1864843,0,train
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,nba_401810522,Oklahoma City Thunder,New Orleans Pelicans,Paycom Center,2026-01-28T01:00Z,35.4634,-97.5151,0.44231817,0,train
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,nba_401810547,Miami Heat,Chicago Bulls,Kaseya Center,2026-02-01T01:00Z,25.7814,-80.187,0.44231817,0,train
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,nba_401810541,Minnesota Timberwolves,Oklahoma City Thunder,Target Center,2026-01-30T02:30Z,44.9795,-93.276,0.44231817,0,train
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,nba_401810560,Miami Heat,Chicago Bulls,Kaseya Center,2026-02-01T23:00Z,25.7814,-80.187,0.44231817,0,train
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,nba_401810533,Utah Jazz,Golden State Warriors,Delta Center,2026-01-29T02:00Z,40.7683,-111.9011,0.44231817,0,train
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,nba_401810567,Charlotte Hornets,New Orleans Pelicans,Spectrum Center,2026-02-02T20:00Z,35.2251,-80.8392,0.44231817,0,train
