listing_id,true_event_id
L000000,nba_401810548
L000001,nba_401810548
L000002,nba_401810548
L000003,nba_401810548
L000004,nba_401810928
L000005,nba_401810928
L000006,nba_401810928
L000007,nba_401810928
L000008,nba_401812677
L000009,nba_401812677
L000010,nba_401812677
L000011,nba_401812677
L000012,nba_401810416
L000013,nba_401810416
L000014,nba_401810416
L000015,nba_401810416
L000016,nba_401810493
L000017,nba_401810493
L000018,nba_401810493
L000019,nba_401810493
L000020,nba_401810727
L000021,nba_401810727
L000022,nba_401810727
L000023,nba_401810727
L000024,nfl_401772848
L000025,nfl_401772848
L000026,nfl_401772848
L000027,nfl_401772848
L000028,nfl_401772911
L000029,nfl_401772911
L000030,nfl_401772911
L000031,nfl_401772911
L000032,nba_401810384
L000033,nba_401810384
L000034,nba_401810384
L000035,nba_401810384
L000036,nba_401810558
L000037,nba_401810558
L000038,nba_401810558
L000039,nba_401810558
L000040,nba_401810933
L000041,nba_401810933
L000042,nba_401810933
L000043,nba_401810933
L000044,nfl_401772908
L000045,nfl_401772908
L000046,nfl_401772908
L000047,nfl_401772908
L000048,nba_401810852
L000049,nba_401810852
L000050,nba_401810852
L000051,nba_401810852
L000052,nba_401810691
L000053,nba_401810691
L000054,nba_401810691
L000055,nba_401810691
L000056,nba_401857824
L000057,nba_401857824
L000058,nba_401857824
L000059,nba_401857824
L000060,nba_401810018
L000061,nba_401810018
L000062,nba_401810018
L000063,nba_401810018
L000064,nba_401871153
L000065,nba_401871153
L000066,nba_401871153
L000067,nba_401871153
L000068,nfl_401772950
L000069,nfl_401772950
L000070,nfl_401772950
L000071,nfl_401772950
L000072,nba_401873198
L000073,nba_401873198
L000074,nba_401873198
L000075,nba_401873198
L000076,nfl_401772715
L000077,nfl_401772715
L000078,nfl_401772715
L000079,nfl_401772715
L000080,nfl_401772844
L000081,nfl_401772844
L000082,nfl_401772844
L000083,nfl_401772844
L000084,nba_401810689
L000085,nba_401810689
L000086,nba_401810689
L000087,nba_401810689
L000088,nba_401810574
L000089,nba_401810574
L000090,nba_401810574
L000091,nba_401810574
L000092,nba_401810261
L000093,nba_401810261
L000094,nba_401810261
L000095,nba_401810261
L000096,nba_401810151
L000097,nba_401810151
L000098,nba_401810151
L000099,nba_401810151
L000100,nba_401809954
L000101,nba_401809954
L000102,nba_401809954
L000103,nba_401809954
L000104,nba_401809985
L000105,nba_401809985
L000106,nba_401809985
L000107,nba_401809985
L000108,nba_401810582
L000109,nba_401810582
L000110,nba_401810582
L000111,nba_401810582
L000112,nba_401810132
L000113,nba_401810132
L000114,nba_401810132
L000115,nba_401810132
L000116,nfl_401772833
L000117,nfl_401772833
L000118,nfl_401772833
L000119,nfl_401772833
L000120,nba_401809810
L000121,nba_401809810
L000122,nba_401809810
L000123,nba_401809810
L000124,nba_401810902
L000125,nba_401810902
L000126,nba_401810902
L000127,nba_401810902
L000128,nba_401812728
L000129,nba_401812728
L000130,nba_401812728
L000131,nba_401812728
L000132,nba_401810638
L000133,nba_401810638
L000134,nba_401810638
L000135,nba_401810638
L000136,nba_401859965
L000137,nba_401859965
L000138,nba_401859965
L000139,nba_401859965
L000140,nba_401810249
L000141,nba_401810249
L000142,nba_401810249
L000143,nba_401810249
L000144,nba_401810344
L000145,nba_401810344
L000146,nba_401810344
L000147,nba_401810344
L000148,nba_401809991
L000149,nba_401809991
L000150,nba_401809991
L000151,nba_401809991
L000152,nba_401810046
L000153,nba_401810046
L000154,nba_401810046
L000155,nba_401810046
L000156,nba_401810276
L000157,nba_401810276
L000158,nba_401810276
L000159,nba_401810276
L000160,nba_401810637
L000161,nba_401810637
L000162,nba_401810637
L000163,nba_401810637
L000164,nba_401810829
L000165,nba_401810829
L000166,nba_401810829
L000167,nba_401810829
L000168,nba_401809811
L000169,nba_401809811
L000170,nba_401809811
L000171,nba_401809811
L000172,nfl_401772892
L000173,nfl_401772892
L000174,nfl_401772892
L000175,nfl_401772892
L000176,nba_401812690
L000177,nba_401812690
L000178,nba_401812690
L000179,nba_401812690
L000180,nba_401810883
L000181,nba_401810883
L000182,nba_401810883
L000183,nba_401810883
L000184,nba_401810330
L000185,nba_401810330
L000186,nba_401810330
L000187,nba_401810330
L000188,nba_401810351
L000189,nba_401810351
L000190,nba_401810351
L000191,nba_401810351
L000192,nba_401810507
L000193,nba_401810507
L000194,nba_401810507
L000195,nba_401810507
L000196,nba_401812713
L000197,nba_401812713
L000198,nba_401812713
L000199,nba_401812713
L000200,nba_401810281
L000201,nba_401810281
L000202,nba_401810281
L000203,nba_401810281
L000204,nba_401810776
L000205,nba_401810776
L000206,nba_401810776
L000207,nba_401810776
L000208,nba_401810466
L000209,nba_401810466
L000210,nba_401810466
L000211,nba_401810466
L000212,nba_401869378
L000213,nba_401869378
L000214,nba_401869378
L000215,nba_401869378
L000216,nba_401810085
L000217,nba_401810085
L000218,nba_401810085
L000219,nba_401810085
L000220,nfl_401772920
L000221,nfl_401772920
L000222,nfl_401772920
L000223,nfl_401772920
L000224,nfl_401772779
L000225,nfl_401772779
L000226,nfl_401772779
L000227,nfl_401772779
L000228,nba_401811016
L000229,nba_401811016
L000230,nba_401811016
L000231,nba_401811016
L000232,nfl_401772947
L000233,nfl_401772947
L000234,nfl_401772947
L000235,nfl_401772947
L000236,nba_401810539
L000237,nba_401810539
L000238,nba_401810539
L000239,nba_401810539
L000240,nfl_401772810
L000241,nfl_401772810
L000242,nfl_401772810
L000243,nfl_401772810
L000244,nba_401810713
L000245,nba_401810713
L000246,nba_401810713
L000247,nba_401810713
L000248,nba_401810381
L000249,nba_401810381
L000250,nba_401810381
L000251,nba_401810381
L000252,nba_401810020
L000253,nba_401810020
L000254,nba_401810020
L000255,nba_401810020
L000256,nfl_401772721
L000257,nfl_401772721
L000258,nfl_401772721
L000259,nfl_401772721
L000260,nba_401810698
L000261,nba_401810698
L000262,nba_401810698
L000263,nba_401810698
L000264,nba_401810604
L000265,nba_401810604
L000266,nba_401810604
L000267,nba_401810604
L000268,nba_401810889
L000269,nba_401810889
L000270,nba_401810889
L000271,nba_401810889
