event_id,sport,home_team,away_team,venue_canonical,venue_city,venue_state,event_date,venue_lat,venue_lon
nba_401810943,nba,New Orleans Pelicans,Houston Rockets,Smoothie King Center,New Orleans,LA,2026-03-29T23:00Z,29.949,-90.0821
nba_401809958,nba,Memphis Grizzlies,Indiana Pacers,FedExForum,Memphis,TN,2025-10-26T00:00Z,35.1382,-90.0505
nba_401809972,nba,New Orleans Pelicans,Boston Celtics,Smoothie King Center,New Orleans,LA,2025-10-28T00:00Z,29.949,-90.0821
nba_401810400,nba,Boston Celtics,San Antonio Spurs,TD Garden,Boston,MA,2026-01-11T01:00Z,42.3662,-71.0621
nba_401873200,nba,San Antonio Spurs,Oklahoma City Thunder,Frost Bank Center,San Antonio,TX,2026-05-25T00:00Z,29.4269,-98.4375
nba_401810857,nba,Chicago Bulls,Toronto Raptors,United Center,Chicago,IL,2026-03-19T00:00Z,41.8807,-87.6742
nba_401810932,nba,Charlotte Hornets,Philadelphia 76ers,Spectrum Center,Charlotte,NC,2026-03-28T22:00Z,35.2251,-80.8392
nba_401809974,nba,Dallas Mavericks,Oklahoma City Thunder,American Airlines Center,Dallas,TX,2025-10-28T00:30Z,32.7905,-96.8104
nba_401836797,nba,Indiana Pacers,Washington Wizards,Gainbridge Fieldhouse,Indianapolis,IN,2025-12-14T20:00Z,39.7639,-86.1555
nba_401810365,nba,Indiana Pacers,Cleveland Cavaliers,Gainbridge Fieldhouse,Indianapolis,IN,2026-01-07T00:00Z,39.7639,-86.1555
nba_401810182,nba,Atlanta Hawks,LA Clippers,State Farm Arena,Atlanta,GA,2025-12-04T00:30Z,33.7573,-84.3963
nba_401810134,nba,Toronto Raptors,Brooklyn Nets,Scotiabank Arena,Toronto,ON,2025-11-23T23:00Z,43.6435,-79.3791
nba_401810744,nba,Chicago Bulls,Oklahoma City Thunder,United Center,Chicago,IL,2026-03-04T01:00Z,41.8807,-87.6742
nba_401810885,nba,Utah Jazz,Philadelphia 76ers,Delta Center,Salt Lake City,UT,2026-03-22T01:30Z,40.7683,-111.9011
