listing_id,raw_title,raw_date,raw_venue,source,wrong_day_noise
L000000,Cleveland Cavaliers @ Phoenix Suns,1/31/2026,Mortgage Matchup Center,scraped_feed_c,False
L000001,PHX vs CLE,1/31/26,Mortgage Matchup Center,partner_feed_a,False
L000002,Cleveland Cavaliers vs Phoenix Suns,1/31/26,Mortgage Matchup Center,partner_feed_a,False
L000003,CLE vs PHX,1/31/26,,partner_feed_a,False
L000004,Washington Wizards vs Golden State Warriors,"March 28, 2026",,partner_feed_a,False
L000005,WAS vs GSW,2026-03-28,Chase Center Arena,partner_feed_a,False
L000006,was at gsw,3/28/2026,Chase Center,partner_feed_a,False
L000007,Washington Wizards at Golden State Warriors,"March 28, 2026",Chase Center,official_feed,False
L000008,LAL at GSW,"October 6, 2025",Chase Center,scraped_feed_b,False
L000009,LOS ANGELES LAKERS VS GOLDEN STATE WARRIORS,10/6/25,Chase Center Arena,partner_feed_a,False
L000010,LAL vs GSW,October 6,,scraped_feed_c,False
L000011,LAL a GSW,,Chase Center,scraped_feed_b,True
L000012,DAL vs BKN,2026-01-13,AAC,partner_feed_a,False
L000013,Dalla&nbsp;Mavericks vs Brooklyn Nets,2026-01-13,American Airlines Center,scraped_feed_b,False
L000014,Brooklyn Nets vs Dallas Mavericks,2026-01-13,AAC,scraped_feed_c,False
L000015,D vs BKN,1/13/26,AAC,scraped_feed_c,False
L000016,  SA  Cat CLE ,January 24,Rocket Arena,scraped_feed_c,False
L000017,  sacramento  kings vs cleveland cavaliers ,January 24,,scraped_feed_c,False
L000018,CLE vs SAC,"January 24, 2026",Quicken Loans Arena,partner_feed_a,False
L000019,Cleveland Cavaliers vs Sacramento Kings,"January 24, 2026",Rocket Arena,official_feed,False
L000020,memphis grizzlies at indiana pacers,2026-03-01,GF,scraped_feed_b,False
L000021,Memphis Grizzlies at Indiana Pacers,March 1,Gainbridge Fieldhouse,official_feed,False
L000022,MEM @ IND,3/1/2026,Gainbridge Fieldhouse,scraped_feed_c,False
L000023,Memphis Grizzlies vs Indiana Pacers,"March 1, 2026",Gainbridge Fieldhouse,official_feed,False
L000024,SF vs JAX,2025-09-28,Levi's Stadium,scraped_feed_b,False
L000025,Jacksonville Jaguars vs Sa nFrancisco 49ers,2025-09-28,Levi's Stadium,scraped_feed_c,False
L000026,San Francisco 49ers vs Jacksonville Jaguars,9/28/2025,Levi's Stadium,official_feed,False
L000027,SF vs JAX,9/28/25,Levi's Stadium,partner_feed_a,False
L000028,MINNESOTA VIKINGS VS NEW YORK GIANTS,"December 21, 2025",MetLife Stadium,scraped_feed_c,False
L000029,NYGV S MIN,2025-12-21,MS,scraped_feed_b,False
L000030,Minnesota Vikings vs New York Giants,12/21/25,MetLife,scraped_feed_b,False
L000031,MINNESOTA VIKINGS VS NEW YORK GIANTS,12/21/25,,scraped_feed_b,False
L000032,Miami Heat vs Chicago Bulls,"January 9, 2026",United Center,official_feed,False
L000033,MIA vs CHI,1/9/26,United Center Chicago,partner_feed_a,False
L000034,miami heat at chicago bulls,"January 9, 2026",United Center,partner_feed_a,False
L000035,MIAMI HEAT VS CHICAGO BULLS,1/9/2026,United Center,partner_feed_a,False
L000036,Orlando Magic vs San Antonio Spurs,2/2/2026,Frost Bank Center,partner_feed_a,False
L000037,  ORL  @ aAS ,"February 2, 2026",Frost Bank Center,scraped_feed_b,False
L000038,SAS vs ORL,2/2/2026,FBC,scraped_feed_c,False
L000039,SAS vs ORL,2026-02-02,Frost Bank Center,scraped_feed_c,False
L000040,Sacramento Kings vs Atlanta Hawks,2026-03-28,State Farm Arena,official_feed,False
L000041,Atlanta Hawks vs Sacramento Kings,3/28/2026,Philips Arena,partner_feed_a,False
L000042,SAC at ATL,3/28/2026,Philips Arena,scraped_feed_b,False
L000043,atlanta hawks vs sacramento kings,March 28,State Farm Arena,partner_feed_a,False
L000044,Carolina Panthers at New Orleans Saints,12/14/25,Caesars Superdome,official_feed,False
L000045,Carolina Panthers vs New Orleans Saints,2025-12-14,Caesars Superdome,official_feed,False
L000046,New Orleans Saints vs Carolina Panthers,2025-12-14,Caesars Superdome,official_feed,False
L000047,  new  orleans saints vs carolina panthers ,2025-12-14,,scraped_feed_c,False
L000048,Denver Nuggets vs Philadelphia 76ers,3/18/2026,Ball Arena,scraped_feed_b,False
L000049,PIH @ DEN,March 18,Ball Arena Denver,scraped_feed_c,False
L000050,Denver Nuggets vs Philadelphia 76ers,3/18/2026,Ball Arena,official_feed,False
L000051,Philadwlphia 76ers at Denver Nuggets,3/18/26,Ball Arena,scraped_feed_b,False
L000052,Charlotte Hornets at Chicago Bulls,"February 25, 2026",United Center,official_feed,False
